key,title,iac_matches,quality_matches
war_vulnerabilities_2025,"Vulnerabilities in infrastructure as code: what, how many, and who?",infrastructure as code,vulnerabilit
bessghaier_towards_2025,Towards understanding code review practices for infrastructure-as-code: {An,infrastructure-as-code,practice
nasiri_towards_2024,Towards a {Taxonomy,ansible;iac;infrastructure as code,fault;misconfig;misconfiguration
shimizu_test-suite-guided_2024,Test-suite-guided discovery of least privilege for cloud infrastructure as code,infrastructure as code,test
rahman_as_2020,The ‘as code’ activities: development anti-patterns for infrastructure as code,infrastructure as code,anti-pattern
verdet_assessing_2025,Assessing the adoption of security policies by developers in terraform across different cloud providers,terraform,security
eng_patterns_2024,Patterns of multi-container composition for service orchestration with {Docker,container;docker;docker compose,analysis
10.1007/s10664-023-10432-6,An empirical study of task infections in Ansible scripts,ansible;infrastructure as code,analysis;security
SUHAIL2024100706,TRIPLE: A blockchain-based digital twin framework for cyber–physical systems security,iac;infrastructure-as-code,security
ABE20222771,"Neuroscience Cloud Analysis As a Service: An open-source platform for scalable, reproducible data analysis",infrastructure-as-code,analysis
SCHWANCK2025107626,A Framework for testing Federated Learning algorithms using an edge-like environment,container;kubernetes,test;testing
ALMUAIRFI202013,Security controls in infrastructure as code,iac;infrastructure as code,security
DALLAPALMA2020110726,Toward a catalog of software quality metrics for infrastructure code,ansible;iac;infrastructure as code;infrastructure-as-code,practice;quality
DIAZ2024111908,Harmonizing DevOps taxonomies — A grounded theory study,arm,analysis;practice;test;validate
POSEY2018153,6 - Infrastructure for Transportation Cyber-Physical Systems,infrastructure as code,analysis;reliability
FEITOSA2024112112,Mining for cost awareness in the infrastructure as code artifacts of cloud-based applications: An exploratory study,infrastructure as code;infrastructure-as-code;terraform,practice
AMARO2025107583,Mapping DevOps capabilities to the software life cycle: A systematic literature review,arm,analysis;performance;quality;reliability;validation
TANZIL2023107244,A mixed method study of DevOps challenges,container;infrastructure as code,practice;quality;validate
VS2023103490,"Container security: Precaution levels, mitigation strategies, and research perspectives",container;containerization,analysis;defect;security;vulnerabilit
DALLAPALMA2020100633,AnsibleMetrics: A Python library for measuring Infrastructure-as-Code blueprints in Ansible,ansible;iac;infrastructure as code;infrastructure-as-code,practice;quality
RAHMAN2019148,Source code properties of defective infrastructure as code scripts,configuration as code;iac;infrastructure as code;puppet,analysis;defect;quality;reliability;test;testing
KAVITHA2025,"Agile Software Development: DevOps, SRE, and VSM Practices & Tools",iac;infrastructure as code;terraform,practice;quality;reliability
ALGHAWLI2024136,"Resilient cloud cluster with DevSecOps security model, automates a data analysis, vulnerability search and risk calculation",terraform,analysis;security;vulnerabilit;vulnerability
QUEVAL2025107761,On the understandability of coupling-related practices in infrastructure-as-code based deployments,iac;infrastructure as code;infrastructure-as-code,practice
MORRIS2017105,Use of Docker for deployment and testing of astronomy software,container;containerization;docker,test;testing
RUSSO2020101837,Building next generation Cyber Ranges with CRACK,tosca,misconfig;misconfiguration;quality;security;test;testing;vulnerabilit;vulnerability
RAHMAN201965,A systematic mapping study of infrastructure as code research,configuration as code;iac;infrastructure as code,analysis;defect;practice;security;test;testing
OPDEBEECK2021111059,On the practice of semantic versioning for Ansible galaxy roles: An empirical study and a change classification model,ansible;infrastructure as code;infrastructure-as-code,practice
R2024660,An Empirical Investigation of Docker Sockets for Privilege Escalation and Defensive Strategies,container;containerization;docker,security;vulnerabilit
CASTELLANOSRODRIGUEZ2024256,Serverless-like platform for container-based YARN clusters,container;infrastructure as code,performance
KUMARA2021106593,The do’s and don’ts of infrastructure code: A systematic gray literature review,ansible;chef;iac;infrastructure-as-code;puppet,analysis;practice
BROJABASI2025,"Cloud native engineering: A comprehensive review of principles, practices, and challenges",container;iac;infrastructure as code,performance;practice;security
PETROVIC2020102033,SMADA-Fog: Semantic model driven approach to deployment and adaptivity in fog computing,container;infrastructure as code,performance;quality;test
PANDEY2023102348,Stochastic modelling of non-stationary environmental loads for reliability analysis under the changing climate,arm,analysis;reliability
APEANING2025104342,Mapping household energy vulnerabilities in the United States: New insights from statistical and machine learning analyses,heat,analysis;security;vulnerabilit;vulnerability
ARTICO2022102714,The future of Artificial Intelligence for the BioTech Big Data landscape,arm;iac;infrastructure as code,practice
CHIARI2024102422,DOML: A new modeling approach to Infrastructure-as-Code,ansible;iac;infrastructure-as-code;terraform,practice
MATSCHINSKE2023,The FeatureCloud Platform for Federated Learning in Biomedicine: Unified Approach,docker,quality
BALASUBRAMANIAN2025100545,A cognitive platform for collecting cyber threat intelligence and real-time detection using cloud computing,container;iac;infrastructure as code;terraform,performance
OKONKWO2025929,"Solar PV systems under weather extremes: Case studies, classification, vulnerability assessment, and adaptation pathways",arm;heat,performance;reliability;security;vulnerabilit;vulnerability
MANSOURI2020102740,An automated implementation of hybrid cloud for performance evaluation of distributed databases,terraform,performance
CAMMOCK202110,Opportunities for a civil engineering climate action strategy,heat,practice
RISCO2024457,Rescheduling serverless workloads across the cloud-to-edge continuum,container;kubernetes,performance
YANG2018407,Towards sustainable and resilient high density cities through better integration of infrastructure networks,arm,practice;quality;reliability
FILINIS202472,Intent-driven orchestration of serverless applications in the computing continuum,tosca,quality
SAEZDECAMARA2025309,Chapter 12 - Practical approaches towards IoT dataset generation for security experiments,container;containerization,quality;security;test
BADALYAN2022101126,Ansible execution control in Python and Golang for cloud orchestration,ansible,bug
KAFKA2021114212,What is the role of firearms in nonfatal intimate partner violence? Findings from civil protective order case data,arm,analysis
KUMAR2024109419,Optimizing resource allocation using proactive scaling with predictive models and custom resources,container;containerization;docker;kubernetes;tosca,performance;quality
MUSIC2024619,Digital transformation with a lightweight on-premise PaaS,container;containerization,analysis;security
FU2024e37001,Combating urban heat: Systematic review of urban resilience and adaptation strategies,heat,analysis;vulnerabilit;vulnerability
GOLDENITS2025110724,Taxonomy of cybersecurity considerations in agriculture,arm,fault;maintainability;reliability;security
SAURABH2020107,Expelliarmus: Semantic-centric virtual machine image management in IaaS Clouds,arm,performance;test
SHAPKIN2022785,"Automation of Configuration, Initialization and Deployment of Applications Based on an Algebraic Approach",container;containerization,analysis
ARVIDSSON2021107741,"Critical infrastructure, geographical information science and risk governance: A systematic cross-field review",arm,analysis
ALIC2019243,BIGSEA: A Big Data analytics platform for public transportation information,docker,analysis;quality
BATCHELOR2023100160,The Multidisciplinary Heart Team in Cardiovascular Medicine: Current Role and Future Challenges,iac,practice
MELLOT2025114725,"Electrification, flexibility or both? Emerging trends in European energy policy",heat,analysis
CHOUDHURY2025,Advancing Privacy-Preserving Health Care Analytics and Implementation of the Personal Health Train: Federated Deep Learning Study,container,analysis
AHMAD2025112274,Anomaly detection in offshore open radio access network using long short-term memory models on a novel artificial intelligence-driven cloud-native data platform,arm,practice;reliability;test;testing
WANG2021102687,Perceptions of urban heat island mitigation and implementation strategies: survey and gap analysis,heat,analysis
JEONG2025100791,Autoscaling techniques in cloud-native computing: A comprehensive survey,tosca,performance;security
JUNG2021102305,Containers and orchestration of numerical ocean model for computational reproducibility and portability in public and private clouds: Application of ROMS 3.6,container;containerization;docker;kubernetes,performance;test
10.1145/3713081.3731735,InfraFix: Technology-Agnostic Repair of Infrastructure as Code,iac;infrastructure as code,security;vulnerabilit
10.1145/3713081.3731721,Hybrid Fuzzing of Infrastructure as Code Programs (Short Paper),iac;infrastructure as code,test;testing
10.1145/3660790,State Reconciliation Defects in Infrastructure as Code,iac;infrastructure as code,analysis;defect;validation
10.1145/3618305.3623607,Extensible Testing for Infrastructure as Code,iac;infrastructure as code;pulumi,bug;test;testing
10.1145/3694715.3695974,Unearthing Semantic Checks for Cloud Infrastructure-as-Code Programs,iac;infrastructure as code;infrastructure-as-code;terraform,analysis;bug;test;testing;validate
10.1145/3643991.3644888,The PIPr Dataset of Public Infrastructure as Code Programs,iac;infrastructure as code;pulumi,analysis;practice;test;testing
10.1145/3639478.3643078,Unleashing the Giants: Enabling Advanced Testing for Infrastructure as Code,iac;infrastructure as code;pulumi,analysis;test;testing
10.1145/3689799,When Your Infrastructure Is a Buggy Program: Understanding Faults in Infrastructure as Code Ecosystems,ansible;chef;iac;infrastructure as code;puppet,analysis;bug;fault;misconfig;misconfiguration;reliability;test;testing
10.1145/3714393.3726494,TerrARA: Automated Security Threat Modeling for Infrastructure as Code,iac;infrastructure as code;terraform,analysis;performance;security
10.1145/3540250.3558912,Infrastructure as code for dynamic deployments,iac;infrastructure as code;kubernetes;tosca,analyzing;test;testing
10.1109/ASE56229.2023.00162,Polyglot Code Smell Detection for Infrastructure as Code with GLITCH,ansible;chef;docker;iac;infrastructure as code;puppet;terraform,analysis;code smell;security;smell
10.1145/3643991.3644934,Fine-Grained Just-In-Time Defect Prediction at the Block Level in Infrastructure-as-Code (IaC),iac;infrastructure-as-code;terraform,analysis;defect;practice
10.1145/3691630,On the Understandability of Design-Level Security Practices in Infrastructure-as-Code Scripts and Deployment Architectures,ansible;iac;infrastructure as code;infrastructure-as-code;terraform,practice;security;vulnerabilit
10.1145/3643916.3644439,TerraMetrics: An Open Source Tool for Infrastructure-as-Code (IaC) Quality Metrics in Terraform,iac;infrastructure-as-code;terraform,fault;misconfig;misconfiguration;quality;smell
10.1145/3748268,From IaC to IoC – Using Infrastructure as Code (IaC) to Generate Synthetic Datasets of Compromised (IoC) Linux Systems for Use in Digital Forensics,iac;infrastructure as code,test;testing
10.1145/3551349.3556945,GLITCH: Automated Polyglot Security Smell Detection in Infrastructure as Code,ansible;chef;iac;infrastructure as code;puppet,analysis;security;smell
10.1145/3416504.3424334,Testing practices for infrastructure as code,configuration as code;iac;infrastructure as code,analysis;defect;practice;quality;test;testing
10.1145/3617733.3617777,Multiobjective Optimization Analysis for Finding Infrastructure-as-Code Deployment Configurations,iac;infrastructure-as-code,analysis;performance;quality;test
10.1145/3502717.3532125,Can We use Authentic Learning to Educate Students about Secure Infrastructure as Code Development?,iac;infrastructure as code,security
10.1145/3465481.3470030,Raising Security Awareness of Cloud Deployments using Infrastructure as Code through CyberSecurity Challenges,infrastructure as code;terraform,fault;practice;security;vulnerabilit;vulnerability
10.1145/3417113.3422154,Characterizing co-located insecure coding patterns in infrastructure as code scripts,iac;infrastructure as code;puppet,security
10.1145/3183440.3195034,Defect prediction metrics for infrastructure as code scripts in DevOps,iac;infrastructure as code,defect
10.1145/3416505.3423563,Singling the odd ones out: a novelty detection approach to find defects in infrastructure-as-code,ansible;iac;infrastructure-as-code,defect;performance
10.1145/3416505.3423564,DeepIaC: deep learning-based linguistic anti-pattern detection in IaC,iac;infrastructure as code,anti-pattern;defect;maintainability;practice
10.1145/3603166.3632135,Compliance Management of IaC-Based Cloud Deployments During Runtime,iac;infrastructure-as-code,practice
10.1145/3663530.3665019,Evaluating the Quality of Open Source Ansible Playbooks: An Executability Perspective,ansible;iac;infrastructure as code,practice;quality
10.1145/3664476.3670929,Enhancing Secure Deployment with Ansible: A Focus on Least Privilege and Automation for Linux,ansible;iac;infrastructure as code,practice;security
10.1145/2740908.2742833,Cloud WorkBench: Benchmarking IaaS Providers based on Infrastructure-as-Code,iac;infrastructure-as-code,performance;test
10.1145/3708035.3736065,Cloud Based Data Pipeline supporting the Florida Zero Suicide Initiative Reporting,infrastructure as code,analysis
10.1145/3626111.3628206,Simplifying Cloud Management with Cloudless Computing,infrastructure as code;infrastructure-as-code,practice
10.1145/3641554.3701870,Teaching Cloud Infrastructure and Scalable Application Deployment in an Undergraduate Computer Science Program,iac;infrastructure-as-code,practice;security
10.1145/3569951.3597555,Cloud Computing for Research and Education Gets a Sweet Upgrade with CACAO,ansible;container;iac;infrastructure as code;infrastructure-as-code;terraform,analysis
10.1145/3468264.3473101,Deployment coordination for cross-functional DevOps teams,iac;infrastructure as code,performance;practice;reliability
10.1145/3408897,Security Smells in Ansible and Chef Scripts: A Replication Study,ansible;chef;configuration as code;iac;infrastructure as code;puppet,analysis;bug;fault;lint;linter;practice;security;smell;vulnerabilit
10.1145/3616131.3616142,CACLE - Automated Mitigation for Misconfiguration Vulnerabilities in Cloud Systems,iac;infrastructure as code,misconfig;misconfiguration;security;test;vulnerabilit;vulnerability
10.1145/3624486.3624507,PIACERE Integrated Development Environment,iac;infrastructure as code,security;test;validation
10.1145/3468264.3468575,Automating serverless deployments for DevOps organizations,iac;infrastructure as code,performance;practice
10.5555/3729857.3729869,The Impact of Course Modality and Size on Learning Outcomes: Applying IaC Principles in IS/Cyber Graduate Course Design,iac;infrastructure as code,analysis;quality;security
10.1145/3607186,What Constitutes the Deployment and Runtime Configuration System? An Empirical Study on OpenStack Projects,docker;dockerfile;infrastructure-as-code,analysis
10.1145/3578245.3584943,Security in DevSecOps: Applying Tools and Machine Learning to Verification and Monitoring Steps,iac;infrastructure as code,analysis;security;test;testing
10.1145/3638209.3638223,Optimizing IaC Configurations: a Case Study Using Nature-inspired Computing,iac;infrastructure as code,quality
10.1145/3419111.3421303,Automatically detecting risky scripts in infrastructure code,ansible;infrastructure-as-code,analysis;performance;reliability;security;test
10.1145/3492323.3495624,Adaptive brokerage framework for the cloud with functional testing,iac,performance;test;testing
10.1145/3687997.3695643,Cloud Programming Languages and Infrastructure from Code: An Empirical Study,iac;infrastructure-as-code,analysis;performance;security
10.1145/3053600.3053629,Towards Omnia: A Monitoring Factory for Quality-Aware DevOps,configuration as code;infrastructure as code,quality
10.1145/3274694.3274713,IAC: On the Feasibility of Utilizing Neural Signals for Access Control,iac,security
10.1145/3551349.3560419,Leveraging Practitioners’ Feedback to Improve a Security Linter,iac;infrastructure-as-code;puppet,lint;linter;security;vulnerabilit
10.1145/2541614.2541632,Automated testing of chef automation scripts,chef;iac;infrastructure as code,test;testing
10.1145/3701625.3701690,Industry Academia and Government Collaboration to Reduce Gaps in Software Engineering: Applications for Students and Professionals in Career Transition,iac,practice;quality
10.1145/3578245.3584932,ICPE'23 Fast Continuum Workshop Chairs' Welcome,infrastructure as code,analysis;performance;test;testing
10.1145/3494322.3494328,Integrating Multi-Disciplinary Offline and Online Engineering in Industrial Cyber-Physical Systems through DevOps,infrastructure as code,test;testing
10.1145/3417990.3420194,An empirical study on visual programming docker compose configurations,docker;docker compose;iac;infrastructure-as-code,bug;misconfig;misconfiguration;validate
10.1145/3465481.3469181,MI-LXC: A Small-Scale Internet-Like Environment for Network Security Teaching,infrastructure-as-code,practice;security
10.1145/3236386.3237207,GitOps: A Path to More Self-service IT: IaC + PR = GitOps,iac,test;testing
10.1145/3463274.3463786,System and Software Processes in Practice: Insights from Chinese Industry,infrastructure-as-code,practice
10.1145/3084226.3084264,What industry wants from academia in software testing? Hearing practitioners' opinions,iac,test;testing
10.5555/2820518.2820527,Co-evolution of infrastructure and source code: an empirical study,chef;infrastructure-as-code;puppet,bug;test
10.1145/3616131.3616136,Towards Democratizing AI: A Comparative Analysis of AI as a Service Platforms and the Open Space for Machine Learning Approach,kubernetes,analysis
10.1145/3275219.3275220,D-Tagger: A Tag Recommendation Approach for Docker Repositories,docker;dockerfile;infrastructure-as-code,analysis
10.1145/3236024.3275528,Building lean continuous integration and delivery pipelines by applying DevOps principles: a case study at Varidesk,container;containerization;infrastructure-as-code,practice
10.1145/3721889.3721924,An evaluation of commonly used Kubernetes security scanning tools,k8s;kubernetes,analysis;misconfig;misconfiguration;performance;security;vulnerabilit
10.1145/3567837,Analysis of Software Engineering Skills Gap in the Industry,iac,analysis
10.1145/3505228,Integration of DevOps Practices on a Noise Monitor System with CircleCI and Terraform,iac;terraform,maintainability;practice;quality
10.1145/3708035.3736106,Building a Lab-scale Cyberinfrastructure for Fun and Profit,container;kubernetes,performance
10.1145/2983990.2984000,Asserting reliable convergence for configuration management scripts,ansible;chef;puppet,bug;fault;practice;test;testing
10.1109/MSR.2017.67,An empirical analysis of the docker container ecosystem on GitHub,container;docker;dockerfile,analysis;quality
10.1145/2771783.2771800,Dynamic detection of inter-application communication vulnerabilities in Android,iac,bug;security;test;testing;validate;vulnerabilit;vulnerability
10.1145/3579639,Security Misconfigurations in Open Source Kubernetes Manifests: An Empirical Study,container;kubernetes,analysis;lint;linter;misconfig;misconfiguration;performance;security
10.1145/3377811.3380384,Practical fault detection in puppet programs,puppet,analysis;analyzing;fault;performance
10.1145/3725789.3725794,Isambard-AI: a leadership-class supercomputer optimised specifically for Artificial Intelligence,container,performance
10.1145/3563766.3564087,The internet of things in a laptop: rapid prototyping for IoT applications with digibox,kubernetes,bug;test
10.1145/3626641.3626673,Implementation of Fault-Tolerance Mechanism in Quorum-Based Blockchain Provisioning in Cloud Infrastructure Using Replication and Monitoring Protocols,ansible;docker;terraform,fault;performance;reliability;test;testing
10.1145/3102254.3102266,"Design, implementation and test of a flexible tor-oriented web mining toolkit",arm,performance;security;test
10.1145/3643991.3644921,DRMiner: A Tool For Identifying And Analyzing Refactorings In Dockerfile,container;containerization;docker;dockerfile,analyzing
10.1145/3696410.3714798,LLMCloudHunter: Harnessing LLMs for Automated Extraction of Detection Rules from Cloud-Based CTI,arm,analysis;quality;security
10.1145/3749220,Inside Job: Defending Kubernetes Clusters Against Network Misconfigurations,container;kubernetes,analysis;misconfig;misconfiguration;security
10.1145/3007788.3007795,Analysis of Trusted Execution Environment usage in Samsung KNOX,container,analysis;security;vulnerabilit
10.1145/3377812.3382169,Exploring the relationship between dockerfile quality and project characteristics,docker;dockerfile,analysis;practice;quality
10.1145/3084226.3084279,"Industry-academia collaborations in software engineering: An empirical analysis of challenges, patterns and anti-patterns in research projects",iac,analysis;anti-pattern
10.1145/1030083.1030088,Testing network-based intrusion detection signatures using mutant exploits,arm,quality;security;test;testing;vulnerabilit;vulnerability
10.1145/3384217.3384223,Do configuration management tools make systems more secure? an empirical research plan,puppet,analysis;misconfig;misconfiguration;security;smell
10.1145/3550356.3561567,An approach to build consistent software architecture diagrams using devops system descriptors,docker;docker compose,test
10.1145/3664476.3670437,"The PRECINCT Ecosystem Platform for Critical Infrastructure Protection: Architecture, Deployment and Transferability",tosca,security
10.5555/3374138.3374159,Application of blockchain in interoperable simulation for strategic decision making,heat,performance;reliability
10.1145/3691620.3695277,Ansible Lightspeed: A Code Generation Service for IT Automation,ansible,analysis
10.1145/3639478.3643534,Automated Security Repair for Helm Charts,k8s;kubernetes,bug;misconfig;misconfiguration;security
10.1145/3538705,A Human Factors Approach to Validating Driver Models for Interaction-aware Automated Vehicles,iac,validate;validation
10.1145/3531056.3542769,mira: an Application Containerisation Pipeline for Small Software Development Teams in Low Resource Settings,container;docker,practice;validate
10.1109/ASE51524.2021.9678585,Refactorings and technical debt in docker projects: an empirical study,compose file;container;containerization;docker;docker-compose;dockerfile,practice;quality
10.1145/3368089.3409675,Dimensions of software configuration: on the configuration context in modern software development,container;containerization,analyzing;practice
10.5555/3463952.3464054,Modeling the Interaction between Agents in Cooperative Multi-Agent Reinforcement Learning,iac,performance
10.1145/3617173,DRIVE: Dockerfile Rule Mining and Violation Detection,container;docker;dockerfile,quality
10.1145/3577065.3577093,An Improved Compensation Time Control Strategy Based on CrM Mode Boost PFC Converter,arm,test;testing
10.5555/3373669.3373678,Patterns of software development with containers,container;docker,security
10.5555/3533760.3533764,An authoring process to construct docker containers to help instructors develop cybersecurity exercises,container;docker;terraform,security
10.1145/3037697.3037712,AsyncClock: Scalable Inference of Asynchronous Event Causality,arm,performance
10.1109/ECASE.2019.00013,Architecture interoperability and repeatability with microservices: an industry perspective,container,test
10.1109/ICSE43902.2021.00106,Shipwright: A Human-in-the-Loop System for Dockerfile Repair,docker;dockerfile,analysis
10.1145/3194760.3194763,Exploiting devops practices for dependable and secure continuous delivery pipelines,arm,practice;quality;security;test;testing
10.1109/CCGrid.2015.125,Highly available cloud-based cluster management,chef,analysis;reliability
10.1145/3377811.3380406,"Learning from, understanding, and supporting DevOps artifacts for docker",docker;dockerfile,analysis;practice;validation
10.5555/3447080.3447091,Development of a configuration management course for computing operations students,ansible,security
10.1145/2755644.2755647,Architecting a Persistent and Reliable Configuration Management System,chef,analysis;reliability;security
10.1145/3661167.3661206,CLAIM: a Lightweight Approach to Identify Microservices in Dockerized Environments,docker,analysis;validate
10.1145/3282308.3282315,Engineering Software for the Cloud: Automated Recovery and Scheduler,container,validate
10.1145/3136825.3136892,Component-centric application-driven framework: towards taming privilege separation in Android,iac,security;vulnerabilit
10.1145/1297385.1297393,The co-replication methodology and its application to structured parallel programs,arm,fault;reliability;test
10.1145/3209281.3209309,Analyzing e-governance assessment initiatives: an exploratory study,iac,analyzing
10.1145/3634713.3634723,Towards Feature-based Versioning for Musicological Research,arm,analysis
10.5555/3124497.3124517,Patterns for software orchestration on the cloud,container;containerization,practice
10.1145/2975969.2975974,CRDTs for the configuration of distributed Erlang systems,arm,fault
10.1613/jair.1.14386,On Centralized Critics in Multi-Agent Reinforcement Learning,arm,practice
10.5555/1999416.1999448,The role of MSIAC in supporting modeling and simulation,iac,analysis;quality
10.1145/2999572.2999602,Flurries: Countless Fine-Grained NFs for Flexible Per-Flow Customization,container;docker,performance
10.1145/2691195.2691310,Thailand new ICT master plan to promote ICT innovations and services for e-ageing,iac,analysis;quality;test
10.1109/ICSE.2017.36,A SEALANT for inter-app security holes in android,arm,analysis;performance;security
10.1145/3339252.3341481,Applicability of the IEC 62443 standard in Industry 4.0 / IIoT,iac,analysis;security
10.1145/3463340,Skills Gaps in the Industry: Opinions of Embedded Software Practitioners,iac,analyzing
10.1145/3386415.3387033,A Brief Overview of The Status and Prospects of Railway Static Power Conditioner,arm,quality
10.1145/3387940.3392161,DockerKG: A Knowledge Graph of Docker Artifacts,docker;dockerfile,analyzing
10.1145/2568195.2568214,Application of pedagogical fundamentals for the holistic development of cybersecurity professionals,arm,quality;security
10.1145/2536811,The Role of Sound Source Perception in Gestural Sound Description,arm,test;validate
10.14778/2809974.2809975,Possible and certain SQL keys,arm,fault;quality
10.1145/265665.265679,Communication oriented organizational modeling,arm,analysis;quality
8367077,Anti-Patterns in Infrastructure as Code,configuration as code;iac;infrastructure as code;puppet,analysis;anti-pattern;defect;quality;security
9284113,Gang of Eight: A Defect Taxonomy for Infrastructure as Code Scripts,configuration as code;iac;infrastructure as code;puppet,analysis;analyzing;bug;defect;quality
10910699,DevOps Automation Pipeline Deployment with IaC (Infrastructure as Code),iac;infrastructure as code,practice
10092598,Towards Reliable Infrastructure as Code,iac;infrastructure as code;pulumi,practice;reliability;security;test;testing
8449631,Characteristics of Defective Infrastructure as Code Scripts in DevOps,iac;infrastructure as code,analysis;anti-pattern;defect;performance;quality;security
10479426,A Pilot Study of Testing Infrastructure as Code for Cloud Systems,iac;infrastructure as code,bug;practice;test;testing
8449603,Poster: Defect Prediction Metrics for Infrastructure as Code Scripts in DevOps,iac;infrastructure as code,defect
9983681,Automated Approach to IaC Code Inspection Using Python-Based DevSecOps Tool,iac;infrastructure as code;terraform,analysis;quality;security;test;testing
10671452,Securing Infrastructure as Code (IaC) through DevSecOps:A Comprehensive Risk Management Framework,iac;infrastructure as code,analysis;bug;practice;security
8812041,The Seven Sins: Security Smells in Infrastructure as Code Scripts,iac;infrastructure as code;puppet,analysis;bug;lint;linter;practice;security;smell;validate
9779848,Static Analysis of Infrastructure as Code: a Survey,iac;infrastructure as code,analysis;defect;reliability;security
10174011,Control and Data Flow in Security Smell Detection for Infrastructure as Code: Is It Worth the Effort?,ansible;iac;infrastructure as code,analysis;code smell;practice;quality;security;smell;vulnerabilit
10653392,Towards the Self-Healing of Infrastructure as Code Projects Using Constrained LLM Technologies,iac;infrastructure as code,analysis
10516612,Automated Infrastructure as Code Program Testing,iac;infrastructure as code;pulumi,bug;practice;reliability;test;testing;validation
11126823,Harnessing the Power of LLMs for Code Smell Detection in Terraform Infrastructure as Code,iac;infrastructure as code;terraform,analysis;code smell;lint;linter;maintainability;performance;quality;security;smell;vulnerabilit
9321740,Within-Project Defect Prediction of Infrastructure-as-Code Using Product and Process Metrics,iac;infrastructure-as-code,analysis;defect;performance;practice;quality
10425162,Enhancing Efficiency Through Infrastructure Automation: An In-Depth Analysis of Infrastructure as Code (IaC) Tools,iac;infrastructure as code;terraform,analysis;performance;reliability
9457903,Reproducible Software Vulnerability Testing with IaC,iac;infrastructure as code,security;test;testing;vulnerabilit;vulnerability
8367034,Characterizing Defective Configuration Scripts Used for Continuous Deployment,configuration as code;iac;infrastructure as code;puppet,defect;validation
9915031,"Embracing IaC Through the DevSecOps Philosophy: Concepts, Challenges, and a Reference Framework",iac;infrastructure-as-code,security;test;testing
9787876,As Code Testing: Characterizing Test Quality in Open Source Ansible Development,ansible;configuration as code;iac;infrastructure as code,bug;performance;quality;security;test;testing
10589858,"On the Prevalence, Co-occurrence, and Impact of Infrastructure-as-Code Smells",iac;infrastructure-as-code;puppet,bug;code smell;defect;smell
11029328,Automated Bug Discovery in Cloud Infrastructure-as-Code Updates with LLM Agents,iac;infrastructure-as-code;terraform,bug;fault;reliability;test;testing
